Industry,Type,Year,Value
Insurance Services,FPEI,2009,30.1
Insurance Services,FDI,2009,7959.2
Investment Holding Companies,FEI,2009,210462.9
Investment Holding Companies,FDEI,2009,173417.8
Investment Holding Companies,FPEI,2009,37045.1
Investment Holding Companies,FDI,2009,197625.2
Land & Air Transport & Supporting Services,FEI,2009,377.8
Land & Air Transport & Supporting Services,FDEI,2009,-179
Land & Air Transport & Supporting Services,FPEI,2009,556.8
Land & Air Transport & Supporting Services,FDI,2009,-180.9
Machinery & Equipment,FEI,2009,6100.5
Machinery & Equipment,FDEI,2009,5994.6
Machinery & Equipment,FPEI,2009,105.9
Machinery & Equipment,FDI,2009,6227.4
Manufacturing,FEI,2009,113580.2
Manufacturing,FDEI,2009,112072
Manufacturing,FPEI,2009,1508.2
Manufacturing,FDI,2009,124834.8
Other Electronics nec,FEI,2009,6964.7
Other Electronics nec,FDEI,2009,6373.5
Other Electronics nec,FPEI,2009,591.2
Other Electronics nec,FDI,2009,6442
Other Financial Services,FEI,2009,18539.3
Other Financial Services,FDEI,2009,16633.1
Other Financial Services,FPEI,2009,1906.2
Other Financial Services,FDI,2009,19240
Other Water Transport nec,FEI,2009,4908.8
Other Water Transport nec,FDEI,2009,4902.9
Other Water Transport nec,FPEI,2009,5.9
Other Water Transport nec,FDI,2009,5481
Others,FEI,2009,7280.7
Others,FDEI,2009,7200.4
Others,FPEI,2009,80.3
Others,FDI,2009,7763.9
"Paper, Paper Products & Printing",FEI,2009,632.6
"Paper, Paper Products & Printing",FDEI,2009,601
"Paper, Paper Products & Printing",FPEI,2009,31.6
"Paper, Paper Products & Printing",FDI,2009,628.6
Pharmaceutical Products,FEI,2009,36573.3
Pharmaceutical Products,FDEI,2009,36573
Pharmaceutical Products,FPEI,2009,0.3
Pharmaceutical Products,FDI,2009,36965.6
"Professional,  Scientific & Technical, Administrative & Support Services",FEI,2009,34845.4
"Professional,  Scientific & Technical, Administrative & Support Services",FDEI,2009,34258
"Professional,  Scientific & Technical, Administrative & Support Services",FPEI,2009,587.4
"Professional,  Scientific & Technical, Administrative & Support Services",FDI,2009,37667.6
Real Estate Activities,FEI,2009,15901.6
Real Estate Activities,FDEI,2009,13442.7
Real Estate Activities,FPEI,2009,2458.9
Real Estate Activities,FDI,2009,17307.9
Refined Petroleum Products,FEI,2009,10730.4
Refined Petroleum Products,FDEI,2009,10730
Refined Petroleum Products,FPEI,2009,0.4
Refined Petroleum Products,FDI,2009,19746.7
Retail Trade,FEI,2009,2483.3
Retail Trade,FDEI,2009,2399.2
Retail Trade,FPEI,2009,84.1
Retail Trade,FDI,2009,2535.7
Rubber & Plastic Products,FEI,2009,1688.2
Rubber & Plastic Products,FDEI,2009,1584.1
Rubber & Plastic Products,FPEI,2009,104.1
Rubber & Plastic Products,FDI,2009,1618.3
Semiconductor Devices,FEI,2009,15541
Semiconductor Devices,FDEI,2009,15235.9
Semiconductor Devices,FPEI,2009,305.1
Semiconductor Devices,FDI,2009,17097.5
Total,FEI,2009,563131.9
Total,FDEI,2009,512557.8
Total,FPEI,2009,50574.1
Total,FDI,2009,574698.9
Transport & Storage,FEI,2009,33629.6
Transport & Storage,FDEI,2009,32545.5
Transport & Storage,FPEI,2009,1084.1
Transport & Storage,FDI,2009,36661.3
Transport Equipment,FEI,2009,3303.7
Transport Equipment,FDEI,2009,3157.5
Transport Equipment,FPEI,2009,146.2
Transport Equipment,FDI,2009,3199.6
"Warehousing, Post & Courier Services",FEI,2009,3028.7
"Warehousing, Post & Courier Services",FDEI,2009,2966.2
"Warehousing, Post & Courier Services",FPEI,2009,62.5
"Warehousing, Post & Courier Services",FDI,2009,2887.8
Water Transport & Supporting Services,FEI,2009,30223.1
Water Transport & Supporting Services,FDEI,2009,29758.3
Water Transport & Supporting Services,FPEI,2009,464.8
Water Transport & Supporting Services,FDI,2009,33954.4
Wholesale & Retail Trade,FEI,2009,91805.4
Wholesale & Retail Trade,FDEI,2009,90741.1
Wholesale & Retail Trade,FPEI,2009,1064.3
Wholesale & Retail Trade,FDI,2009,99171.8
Wholesale Trade,FEI,2009,89322.2
Wholesale Trade,FDEI,2009,88341.9
Wholesale Trade,FPEI,2009,980.3
Wholesale Trade,FDI,2009,96636.1
Accommodation & Food Service Activities,FEI,2010,3408.4
Accommodation & Food Service Activities,FDEI,2010,3357.4
Accommodation & Food Service Activities,FPEI,2010,51
Accommodation & Food Service Activities,FDI,2010,3811.8
Banks,FEI,2010,17546.1
Banks,FDEI,2010,13313.5
Banks,FPEI,2010,4232.6
Banks,FDI,2010,14479.5
Basic Metals,FEI,2010,499
Basic Metals,FDEI,2010,496.4
Basic Metals,FPEI,2010,2.6
Basic Metals,FDI,2010,497.2
Chemicals & Chemical Products,FEI,2010,9129.7
Chemicals & Chemical Products,FDEI,2010,9040.3
Chemicals & Chemical Products,FPEI,2010,89.4
Chemicals & Chemical Products,FDI,2010,9189.3
"Computer, Electronic and Optical Products",FEI,2010,38356.4
"Computer, Electronic and Optical Products",FDEI,2010,37724.5
"Computer, Electronic and Optical Products",FPEI,2010,631.9
"Computer, Electronic and Optical Products",FDI,2010,41138.7
Computers and Peripheral Equipment,FEI,2010,7980.4
Computers and Peripheral Equipment,FDEI,2010,7980.4
Computers and Peripheral Equipment,FPEI,2010,0
Computers and Peripheral Equipment,FDI,2010,8172.3
Construction,FEI,2010,1806.1
Construction,FDEI,2010,1723.1
Construction,FPEI,2010,83
Construction,FDI,2010,1468.3
Electrical Machinery & Apparatus,FEI,2010,1250.4
Electrical Machinery & Apparatus,FDEI,2010,1208.7
Electrical Machinery & Apparatus,FPEI,2010,41.7
Electrical Machinery & Apparatus,FDI,2010,1432
Fabricated Metal Products,FEI,2010,895.1
Fabricated Metal Products,FDEI,2010,872.2
Fabricated Metal Products,FPEI,2010,22.9
Fabricated Metal Products,FDI,2010,1268
Financial & Insurance Services,FEI,2010,283470.9
Financial & Insurance Services,FDEI,2010,234751.3
Financial & Insurance Services,FPEI,2010,48719.6
Financial & Insurance Services,FDI,2010,271261
Financial Services,FEI,2010,274827.1
Financial Services,FDEI,2010,226129.2
Financial Services,FPEI,2010,48697.9
Financial Services,FDI,2010,262623.1
"Food, Beverages & Tobacco",FEI,2010,1986.8
"Food, Beverages & Tobacco",FDEI,2010,1978.2
"Food, Beverages & Tobacco",FPEI,2010,8.6
"Food, Beverages & Tobacco",FDI,2010,2164.7
Freight Water Transport,FEI,2010,24767.7
Freight Water Transport,FDEI,2010,23916.3
Freight Water Transport,FPEI,2010,851.4
Freight Water Transport,FDI,2010,26808.8
Information & Communications,FEI,2010,5825.8
Information & Communications,FDEI,2010,4736.9
Information & Communications,FPEI,2010,1088.9
Information & Communications,FDI,2010,5936.9
"Instrumentation, Photographic & Optical Goods",FEI,2010,6283.6
"Instrumentation, Photographic & Optical Goods",FDEI,2010,6282.9
"Instrumentation, Photographic & Optical Goods",FPEI,2010,0.7
"Instrumentation, Photographic & Optical Goods",FDI,2010,6230.5
Insurance Services,FEI,2010,8643.8
Insurance Services,FDEI,2010,8622
Insurance Services,FPEI,2010,21.8
Insurance Services,FDI,2010,8638
Investment Holding Companies,FEI,2010,236703.7
Investment Holding Companies,FDEI,2010,194374.9
Investment Holding Companies,FPEI,2010,42328.8
Investment Holding Companies,FDI,2010,225952.3
Land & Air Transport & Supporting Services,FEI,2010,243.4
Land & Air Transport & Supporting Services,FDEI,2010,-320.6
Land & Air Transport & Supporting Services,FPEI,2010,564
Land & Air Transport & Supporting Services,FDI,2010,-321.6
Machinery & Equipment,FEI,2010,6809.1
Machinery & Equipment,FDEI,2010,6785.4
Machinery & Equipment,FPEI,2010,23.7
Machinery & Equipment,FDI,2010,7056.3
Manufacturing,FEI,2010,118596.4
Manufacturing,FDEI,2010,117388.7
Manufacturing,FPEI,2010,1207.7
Manufacturing,FDI,2010,133590.7
Other Electronics nec,FEI,2010,6848.7
Other Electronics nec,FDEI,2010,6316.1
Other Electronics nec,FPEI,2010,532.6
Other Electronics nec,FDI,2010,6420.3
Other Financial Services,FEI,2010,20577.3
Other Financial Services,FDEI,2010,18440.8
Other Financial Services,FPEI,2010,2136.5
Other Financial Services,FDI,2010,22191.3
Other Water Transport nec,FEI,2010,5478.6
Other Water Transport nec,FDEI,2010,5467.4
Other Water Transport nec,FPEI,2010,11.2
Other Water Transport nec,FDI,2010,6342.8
Others,FEI,2010,9580.5
Others,FDEI,2010,9479
Others,FPEI,2010,101.5
Others,FDI,2010,9542.4
"Paper, Paper Products & Printing",FEI,2010,911.6
"Paper, Paper Products & Printing",FDEI,2010,751.5
"Paper, Paper Products & Printing",FPEI,2010,160.1
"Paper, Paper Products & Printing",FDI,2010,779.9
Pharmaceutical Products,FEI,2010,41345.4
Pharmaceutical Products,FDEI,2010,41343.8
Pharmaceutical Products,FPEI,2010,1.6
Pharmaceutical Products,FDI,2010,42509.6
"Professional,  Scientific & Technical, Administrative & Support Services",FEI,2010,31580.1
"Professional,  Scientific & Technical, Administrative & Support Services",FDEI,2010,31297.6
"Professional,  Scientific & Technical, Administrative & Support Services",FPEI,2010,282.5
"Professional,  Scientific & Technical, Administrative & Support Services",FDI,2010,35173.7
Real Estate Activities,FEI,2010,17645.7
Real Estate Activities,FDEI,2010,15116.4
Real Estate Activities,FPEI,2010,2529.3
Real Estate Activities,FDI,2010,20083.1
Refined Petroleum Products,FEI,2010,10788.1
Refined Petroleum Products,FDEI,2010,10778.4
Refined Petroleum Products,FPEI,2010,9.7
Refined Petroleum Products,FDI,2010,20627.3
Retail Trade,FEI,2010,2357.5
Retail Trade,FDEI,2010,2287.1
Retail Trade,FPEI,2010,70.4
Retail Trade,FDI,2010,2421.8
Rubber & Plastic Products,FEI,2010,1987
Rubber & Plastic Products,FDEI,2010,1912.3
Rubber & Plastic Products,FPEI,2010,74.7
Rubber & Plastic Products,FDI,2010,1936.7
Semiconductor Devices,FEI,2010,17243.7
Semiconductor Devices,FDEI,2010,17145.1
Semiconductor Devices,FPEI,2010,98.6
Semiconductor Devices,FDI,2010,20315.7
Total,FEI,2010,607372.1
Total,FDEI,2010,550389.8
Total,FPEI,2010,56982.3
Total,FDI,2010,626383.4
Transport & Storage,FEI,2010,34383.2
Transport & Storage,FDEI,2010,32877.8
Transport & Storage,FPEI,2010,1505.4
Transport & Storage,FDI,2010,36793.8
Transport Equipment,FEI,2010,3658
Transport Equipment,FDEI,2010,3538.8
Transport Equipment,FPEI,2010,119.2
Transport Equipment,FDI,2010,3655.5
"Warehousing, Post & Courier Services",FEI,2010,3893.5
"Warehousing, Post & Courier Services",FDEI,2010,3814.7
"Warehousing, Post & Courier Services",FPEI,2010,78.8
